HashArrayLine;0,2537;10
HashArrayDouble;0,057;10
HashArraySquare;0,0378;10
HashSet;0,02518;10
HashArrayLine;0,06034;20
HashArrayDouble;0,05612;20
HashArraySquare;0,04864;20
HashSet;0,03316;20
HashArrayLine;0,18184;40
HashArrayDouble;0,13998;40
HashArraySquare;0,12658;40
HashSet;0,02002;40
HashArrayLine;0,06836;80
HashArrayDouble;0,06664;80
HashArraySquare;0,0958;80
HashSet;0,07854;80
HashArrayLine;0,28552;160
HashArrayDouble;0,08862;160
HashArraySquare;0,11468;160
HashSet;0,13406;160
HashArrayLine;0,2719;320
HashArrayDouble;0,20746;320
HashArraySquare;0,27662;320
HashSet;0,256;320
HashArrayLine;1,56142;640
HashArrayDouble;0,32512;640
HashArraySquare;0,27946;640
HashSet;0,26952;640
HashArrayLine;1,43436;1280
HashArrayDouble;0,97756;1280
HashArraySquare;0,83696;1280
HashSet;0,76932;1280
HashArrayLine;3,57588;2560
HashArrayDouble;3,39148;2560
HashArraySquare;3,08622;2560
HashSet;3,70852;2560
HashArrayLine;10,94062;5120
HashArrayDouble;12,34152;5120
HashArraySquare;10,11496;5120
HashSet;11,44596;5120
HashArrayLine;42,73506;10240
HashArrayDouble;40,06382;10240
HashArraySquare;36,6783;10240
HashSet;55,35208;10240
HashArrayLine;143,66864;20480
HashArrayDouble;142,76498;20480
HashArraySquare;136,89218;20480
HashSet;192,8379;20480
HashArrayLine;566,8619;40960
HashArrayDouble;550,38468;40960
HashArraySquare;555,01372;40960
HashSet;730,39316;40960
HashArrayLine;2431,4604;81920
HashArrayDouble;2548,42502;81920
HashArraySquare;2201,03308;81920
HashSet;4143,72242;81920
